#Longitude	Latitude
145.91	-17.148
146.32	-18.593
146.90	-19.305
147.98	-19.858
148.88	-20.523
149.46	-21.485
149.75	-22.501
150.00	-22.445
	
130.06	-11.841
130.29	-11.678
130.06	-11.841
	
130.25	-11.254
131.08	-11.341
130.83	-11.906
130.25	-11.254
	
136.43	-11.526
	
136.41	-13.818
136.70	-14.323
136.41	-13.818
	
139.58	-16.438
139.21	-16.650
139.58	-16.438
	
146.70	-2.0000
146.89	-2.1994
146.70	-2.0000
	
149.67	-1.3351
	
147.18	-5.2524
	
147.92	-5.5393
148.02	-5.7269
147.92	-5.5393
	
148.45	-5.5172
149.60	-5.5393
150.00	-5.4651
	
150.00	-6.1459
148.51	-5.7269
148.45	-5.5172
	
141.12	-2.5760
142.58	-3.1739
144.51	-3.7604
145.96	-5.4179
147.78	-6.0907
147.32	-7.2468
148.14	-8.0488
	
142.22	-11.000
142.73	-10.859
142.73	-11.026
	
148.13	-8.0488
148.87	-9.0791
150.00	-9.6193
	
150.00	-10.387
149.85	-10.390
147.90	-10.052
147.13	-9.0791
145.60	-7.9720
144.69	-7.6205
143.65	-8.0049
143.37	-9.0025
142.29	-9.1776
141.34	-9.1448
	
141.34	-9.1448
140.03	-8.0598
138.82	-8.3670
138.24	-7.5986
138.84	-7.1038
138.37	-5.7379
137.55	-5.1309
135.70	-4.5344
134.60	-4.0148
133.90	-3.1186
133.19	-4.1143
132.39	-2.9968
133.43	-2.5539
132.52	-2.2770
131.27	-1.5789
131.50	-0.78090
133.41	-0.79200
134.24	-2.4542
135.25	-3.3732
136.47	-2.2659
137.62	-1.5789
139.28	-2.0222
140.51	-2.3434
141.12	-2.5760
	
135.49	-0.74760
136.33	-1.1467
135.49	-0.74760
	
135.61	-1.6343
136.75	-1.7230
135.61	-1.6343
	
130.42	-0.11570
130.85	-0.43720
130.42	-0.11570
	
130.70	-0.99150
130.73	-1.0913
130.70	-0.99150
	
129.78	-1.8560
130.24	-2.0665
129.78	-1.8560
	
127.98	-3.5281
128.70	-2.9082
130.35	-3.0079
130.36	-3.6498
128.97	-3.3510
128.03	-3.4617
127.98	-3.5281
	
133.07	-5.3958
	
134.30	-5.8040
134.74	-6.0025
134.38	-5.8702
134.30	-5.8040
	
134.23	-6.2120
134.52	-6.3111
134.23	-6.2120
	
134.18	-6.2340
134.26	-6.9388
134.17	-6.2340
134.18	-6.2340
	
131.18	-7.7853
131.71	-7.2028
131.18	-7.7853
	
129.65	-7.9061
	
128.59	-7.1808
	
125.91	-8.0269
126.68	-7.6096
125.91	-8.0269
	
124.78	-9.0682
125.80	-8.5643
127.23	-8.4766
125.21	-9.4839
125.11	-9.4183
	
125.11	-9.4183
124.47	-10.172
123.69	-9.7680
124.62	-9.1339
124.78	-9.0682
	
122.90	-10.902
123.42	-10.619
122.90	-10.902
	
124.49	-8.1915
124.75	-8.4547
124.49	-8.1915
	
124.02	-8.4657
	
123.36	-8.5205
123.72	-8.4328
123.36	-8.5205
	
120.00	-8.4437
121.14	-8.3451
122.43	-8.5972
123.01	-8.3231
121.34	-8.9040
120.00	-8.6268
	
120.00	-8.4449
120.00	-8.4437
	
120.00	-9.2761
120.74	-10.216
120.00	-9.8173
	
120.00	-9.2763
120.00	-9.2761
	
120.61	0.0000
120.93	-1.3905
122.29	-0.80310
123.46	-0.90280
121.65	-1.8781
122.42	-3.3289
122.84	-4.3576
121.52	-4.0148
120.39	-2.9193
120.46	-5.5503
120.00	-5.1028
	
121.87	-5.1972
	
122.37	-4.7222
122.73	-5.0536
122.37	-4.7222
	
122.81	-4.9984
123.20	-4.7554
122.79	-5.6717
122.81	-4.9984
	
123.04	-4.0148
123.03	-4.0369
123.04	-4.0148
	
123.07	-1.1578
122.86	-1.2908
123.07	-1.1578
	
123.22	-1.3794
123.21	-1.5124
123.22	-1.3794
	
124.42	-1.6676
125.21	-1.7341
124.41	-1.7895
124.42	-1.6676
	
125.42	-1.8227
126.30	-1.7895
125.42	-1.8227
	
125.91	-2.0111
	
126.06	-3.0854
127.09	-3.3289
126.04	-3.2071
126.06	-3.0854
	
127.35	-0.35960
127.52	-0.80310
127.35	-0.35960
	
127.41	-1.4459
127.71	-1.7008
127.41	-1.4459
	
128.06	-3.8157
128.25	-3.7494
128.01	-3.7825
	
150.00	-22.445
150.58	-22.317
151.25	-23.885
152.45	-24.894
153.10	-26.073
153.14	-27.339
153.56	-28.561
153.22	-30.000
	
153.10	-24.793
153.01	-25.674
153.10	-24.793
	
153.45	-27.348
	
165.01	-21.432
163.93	-20.253
164.86	-20.669
165.25	-21.060
165.93	-21.617
166.81	-22.356
166.05	-22.182
165.34	-21.699
165.01	-21.432
	
159.98	-11.841
160.09	-11.841
159.98	-11.841
	
166.44	-14.729
166.70	-15.210
167.03	-15.221
166.53	-15.307
166.44	-14.729
	
167.06	-15.872
167.44	-16.213
167.27	-16.319
167.06	-15.872
	
168.03	-15.477
168.05	-15.819
168.03	-15.477
	
168.02	-16.085
167.88	-16.309
168.02	-16.085
	
168.31	-17.549
168.10	-17.665
168.31	-17.549
	
168.84	-18.643
168.87	-18.843
168.84	-18.643
	
169.10	-19.366
169.08	-19.408
169.10	-19.366
	
167.00	-20.802
167.23	-21.194
167.00	-20.802
	
167.71	-21.452
167.94	-21.648
167.71	-21.452
	
177.79	-17.422
178.35	-17.612
177.87	-18.244
177.17	-17.791
177.79	-17.422
	
178.75	-16.468
179.84	-16.181
179.70	-16.649
178.81	-16.924
178.75	-16.468
	
150.13	-2.4764
150.21	-2.5760
150.13	-2.4764
	
150.96	-2.6425
152.13	-3.2403
153.30	-4.3133
152.51	-3.5723
151.10	-2.7643
150.96	-2.6425
	
150.00	-5.4651
150.20	-5.4290
151.64	-4.9542
152.27	-4.2028
152.15	-5.5503
150.47	-6.2781
150.00	-6.1459
	
154.68	-4.9542
	
154.83	-5.4179
156.01	-6.4323
155.16	-6.1458
154.83	-5.4179
	
156.59	-6.5975
157.57	-7.1588
156.59	-6.5975
	
156.65	-7.4997
	
157.21	-7.8512
	
157.37	-8.1805
157.84	-8.4876
157.37	-8.1805
	
157.38	-8.5533
	
158.04	-8.6082
	
158.63	-7.5106
159.70	-8.1037
159.24	-8.0378
158.63	-7.5106
	
160.82	-8.3889
161.39	-9.1558
161.32	-9.3855
160.82	-8.3889
	
160.26	-8.9916
	
159.68	-9.2761
160.35	-9.3746
160.54	-9.8445
159.68	-9.2761
	
161.49	-10.183
162.38	-10.728
161.49	-10.183
	
152.72	-8.9478
	
150.65	-9.3417
150.66	-9.5276
150.65	-9.3417
	
